time	V(vgate)	V(vout)	I(D3)
1.776836161621993e-006	7.780538e-003	4.822577e+000	2.739859e-004
1.783672099121993e-006	5.885665e-003	4.821784e+000	8.848857e-005
1.790489554347227e-006	3.797827e-003	4.819457e+000	-8.488980e-005
1.797325491847227e-006	1.628777e-003	4.815797e+000	-2.379185e-004
1.804161429347227e-006	-4.962970e-004	4.811101e+000	-3.629699e-004
1.810614227916689e-006	-2.353242e-003	4.805996e+000	-4.491532e-004
1.817450165416689e-006	-4.062956e-003	4.800222e+000	-5.030741e-004
1.824286102916689e-006	-5.432043e-003	4.794439e+000	-5.181380e-004
1.831122040416689e-006	-6.394942e-003	4.788989e+000	-4.945323e-004
1.837957977916689e-006	-6.913862e-003	4.784190e+000	-4.350766e-004
1.844793915416689e-006	-6.976947e-003	4.780311e+000	-3.444688e-004
1.851629852916689e-006	-6.598001e-003	4.777559e+000	-2.289504e-004
1.858465790416690e-006	-5.814801e-003	4.776073e+000	-9.590025e-005
1.865301727916690e-006	-4.686922e-003	4.775910e+000	4.662913e-005
1.872044169230040e-006	-3.308944e-003	4.777041e+000	1.884240e-004
1.878880106730040e-006	-1.729945e-003	4.779412e+000	3.254467e-004
1.885716044230040e-006	-6.344120e-005	4.782857e+000	4.484127e-004
1.892551981730040e-006	1.595319e-003	4.787178e+000	5.510253e-004
1.899387919230040e-006	3.154390e-003	4.792128e+000	6.283629e-004
1.906223856730040e-006	4.530888e-003	4.797437e+000	6.770890e-004
1.913059794230040e-006	5.655283e-003	4.802825e+000	6.955761e-004
1.919895731730040e-006	6.474758e-003	4.808019e+000	6.839309e-004
1.926731669230040e-006	6.955502e-003	4.812765e+000	6.439246e-004
1.933567606730040e-006	7.083834e-003	4.816846e+000	5.788316e-004
1.940403544230040e-006	6.866165e-003	4.820087e+000	4.931932e-004
1.947239481730040e-006	6.327839e-003	4.822369e+000	3.925186e-004
1.954075419230040e-006	5.510969e-003	4.823629e+000	2.829428e-004
1.960911356730040e-006	4.471439e-003	4.823864e+000	1.708634e-004
1.967747294230040e-006	3.275269e-003	4.823126e+000	6.257471e-005
1.974583231730040e-006	1.994576e-003	4.821522e+000	-3.607820e-005
1.981419169230040e-006	6.988089e-004	4.819223e+000	-1.210382e-004
1.986867715178599e-006	-2.941670e-004	4.816979e+000	-1.751140e-004
1.993058585753077e-006	-1.324052e-003	4.814125e+000	-2.186302e-004
1.999894523253077e-006	-2.300000e-003	4.810832e+000	-2.452572e-004
2.006730460753077e-006	-3.064087e-003	4.807584e+000	-2.488854e-004
2.013566398253077e-006	-3.578906e-003	4.804582e+000	-2.297051e-004
2.020402335753077e-006	-3.825498e-003	4.802007e+000	-1.896721e-004
2.027238273253077e-006	-3.800463e-003	4.800015e+000	-1.318231e-004
2.034074210753077e-006	-3.515570e-003	4.798719e+000	-6.006534e-005
2.040910148253077e-006	-2.996551e-003	4.798193e+000	2.107402e-005
2.047746085753077e-006	-2.283388e-003	4.798448e+000	1.067705e-004
2.054096715131962e-006	-1.483446e-003	4.799395e+000	1.861075e-004
2.060932652631962e-006	-5.271212e-004	4.801093e+000	2.671728e-004
2.066421602409490e-006	2.752324e-004	4.802920e+000	3.258096e-004
2.072592607918569e-006	1.172424e-003	4.805412e+000	3.814625e-004
2.079428545418569e-006	2.111130e-003	4.808523e+000	4.290692e-004
2.086264482918569e-006	2.946938e-003	4.811857e+000	4.600845e-004
2.093100420418569e-006	3.636610e-003	4.815257e+000	4.730843e-004
2.099936357918569e-006	4.147375e-003	4.818558e+000	4.680165e-004
2.106772295418569e-006	4.457663e-003	4.821608e+000	4.458316e-004
2.113608232918569e-006	4.557865e-003	4.824273e+000	4.083930e-004
2.120444170418569e-006	4.450401e-003	4.826447e+000	3.583388e-004
2.127280107918569e-006	4.149114e-003	4.828053e+000	2.989071e-004
2.134116045418570e-006	3.678052e-003	4.829050e+000	2.337337e-004
2.140951982918570e-006	3.069741e-003	4.829432e+000	1.666353e-004
2.147787920418570e-006	2.363881e-003	4.829239e+000	1.012284e-004
2.153983496733930e-006	1.673597e-003	4.828595e+000	4.662232e-005
2.160819434233930e-006	8.984142e-004	4.827447e+000	-5.490552e-006
2.167655371733930e-006	1.520271e-004	4.825967e+000	-4.697482e-005
2.174491309233930e-006	-5.262191e-004	4.824265e+000	-7.579433e-005
2.181327246733931e-006	-1.101446e-003	4.822467e+000	-9.084973e-005
2.188163184233931e-006	-1.545798e-003	4.820704e+000	-9.184739e-005
2.194999121733931e-006	-1.839720e-003	4.819098e+000	-7.928483e-005
2.201835059233931e-006	-1.972725e-003	4.817756e+000	-5.439267e-005
2.208670996733931e-006	-1.943636e-003	4.816770e+000	-1.903805e-005
2.215506934233931e-006	-1.760303e-003	4.816205e+000	2.440334e-005
2.222342871733931e-006	-1.438833e-003	4.816103e+000	7.319860e-005
2.229178809233931e-006	-1.002388e-003	4.816475e+000	1.244228e-004
2.236014746733931e-006	-4.796341e-004	4.817310e+000	1.751282e-004
2.242850684233931e-006	9.705388e-005	4.818569e+000	2.225086e-004
2.249686621733931e-006	6.935336e-004	4.820190e+000	2.640489e-004
2.256522559233931e-006	1.275860e-003	4.822096e+000	2.976537e-004
2.263358496733931e-006	1.812165e-003	4.824195e+000	3.217468e-004
