time	V(vgate)	V(n005)	I(D1)
6.002000000000000e-006	1.840546e-002	3.300000e+000	1.863083e-004
6.002030005391531e-006	1.992396e-002	3.300000e+000	1.863032e-004
6.002070012580239e-006	2.209228e-002	3.300000e+000	1.862956e-004
6.002150026957654e-006	2.692446e-002	3.300000e+000	1.862759e-004
6.002310055712487e-006	3.827533e-002	3.300000e+000	1.862127e-004
6.002579593503371e-006	6.116350e-002	3.300000e+000	1.860176e-004
6.002874633599335e-006	9.092299e-002	3.300000e+000	1.856019e-004
6.003209488726396e-006	1.299438e-001	3.300000e+000	1.847108e-004
6.003566281611586e-006	1.762705e-001	3.300000e+000	1.830149e-004
6.003960887316398e-006	2.316642e-001	3.300000e+000	1.798979e-004
6.004349412343972e-006	2.893477e-001	3.300000e+000	1.746802e-004
6.005006547607921e-006	3.904171e-001	3.300000e+000	1.596608e-004
6.005824956271734e-006	5.179185e-001	3.300000e+000	1.305971e-004
6.006383256718113e-006	6.044273e-001	3.300000e+000	1.015769e-004
6.006962204232504e-006	6.922597e-001	3.300000e+000	5.996611e-005
6.007688087144303e-006	7.984782e-001	3.300000e+000	-8.413353e-006
6.008462074237652e-006	9.017370e-001	3.300000e+000	-1.028624e-004
6.009449111952730e-006	1.002369e+000	3.300000e+000	-2.544459e-004
6.010586802080427e-006	1.063408e+000	3.300000e+000	-4.588143e-004
6.011877285757327e-006	1.081381e+000	3.300000e+000	-6.998182e-004
6.013153965846286e-006	1.080404e+000	3.300000e+000	-9.054259e-004
6.014608521280712e-006	1.078310e+000	3.300000e+000	-1.038604e-003
6.016583239327372e-006	1.077584e+000	3.300000e+000	-9.964894e-004
6.018711475762620e-006	1.077865e+000	3.300000e+000	-5.994338e-004
6.021523909824228e-006	1.079360e+000	3.300000e+000	5.640900e-004
6.025361999856393e-006	1.082952e+000	3.300000e+000	3.273433e-003
6.030799573527558e-006	1.090167e+000	3.300000e+000	8.972766e-003
6.037592322181414e-006	1.101144e+000	3.300000e+000	1.848163e-002
6.046308822328752e-006	1.116291e+000	3.300000e+000	3.327648e-002
6.054394974030119e-006	1.129898e+000	3.300000e+000	4.877342e-002
6.062912847912624e-006	1.142818e+000	3.300000e+000	6.681137e-002
6.071688424638905e-006	1.154890e+000	3.300000e+000	8.780025e-002
6.077354456202239e-006	1.171087e+000	3.300000e+000	1.036109e-001
6.079825773808375e-006	1.195173e+000	3.300000e+000	1.116764e-001
6.082319897125466e-006	1.237831e+000	3.300000e+000	1.206737e-001
6.083413249521174e-006	1.259407e+000	3.300000e+000	1.248146e-001
6.084881698074969e-006	1.289655e+000	3.300000e+000	1.305261e-001
6.086158643578678e-006	1.316345e+000	3.300000e+000	1.355293e-001
6.087652227604267e-006	1.347707e+000	3.300000e+000	1.413578e-001
6.089454944430057e-006	1.385475e+000	3.300000e+000	1.482674e-001
6.091363801870499e-006	1.425082e+000	3.300000e+000	1.553266e-001
6.093819082825288e-006	1.475218e+000	3.300000e+000	1.639191e-001
6.096546798460467e-006	1.529623e+000	3.300000e+000	1.727589e-001
6.099966319927038e-006	1.595748e+000	3.300000e+000	1.828138e-001
6.103832799670394e-006	1.667624e+000	3.300000e+000	1.929651e-001
6.108670046409395e-006	1.753299e+000	3.300000e+000	2.041951e-001
6.114170747522010e-006	1.845065e+000	3.300000e+000	2.154542e-001
6.121447878961596e-006	1.958079e+000	3.300000e+000	2.286361e-001
6.129348394630521e-006	2.070752e+000	3.300000e+000	2.414022e-001
6.139114019630521e-006	2.197100e+000	3.300000e+000	2.555788e-001
6.148879644630520e-006	2.310942e+000	3.300000e+000	2.684295e-001
6.158645269630520e-006	2.412955e+000	3.300000e+000	2.801180e-001
6.168410894630520e-006	2.504395e+000	3.300000e+000	2.907975e-001
6.178176519630519e-006	2.586375e+000	3.300000e+000	3.005748e-001
6.187942144630519e-006	2.659885e+000	3.300000e+000	3.095356e-001
6.197707769630518e-006	2.725808e+000	3.300000e+000	3.177536e-001
6.207473394630518e-006	2.784932e+000	3.300000e+000	3.252941e-001
6.217239019630518e-006	2.837961e+000	3.300000e+000	3.322158e-001
6.227004644630517e-006	2.885526e+000	3.300000e+000	3.385715e-001
6.236770269630517e-006	2.928191e+000	3.300000e+000	3.444090e-001
6.246535894630516e-006	2.966463e+000	3.300000e+000	3.497719e-001
6.256301519630516e-006	3.000794e+000	3.300000e+000	3.546998e-001
6.266067144630516e-006	3.031591e+000	3.300000e+000	3.592288e-001
6.275832769630515e-006	3.059218e+000	3.300000e+000	3.633918e-001
6.285598394630515e-006	3.084002e+000	3.300000e+000	3.672189e-001
6.295364019630514e-006	3.106234e+000	3.300000e+000	3.707376e-001
6.305129644630514e-006	3.126178e+000	3.300000e+000	3.739731e-001
6.314895269630514e-006	3.144070e+000	3.300000e+000	3.769486e-001
6.324660894630513e-006	3.160121e+000	3.300000e+000	3.796851e-001
6.334426519630513e-006	3.174520e+000	3.300000e+000	3.822020e-001
6.344192144630512e-006	3.187437e+000	3.300000e+000	3.845171e-001
6.353957769630512e-006	3.199025e+000	3.300000e+000	3.866467e-001
6.363723394630512e-006	3.209420e+000	3.300000e+000	3.886057e-001
6.373489019630511e-006	3.218745e+000	3.300000e+000	3.904080e-001
6.383254644630511e-006	3.227111e+000	3.300000e+000	3.920661e-001
6.393020269630510e-006	3.234616e+000	3.300000e+000	3.935916e-001
6.402785894630510e-006	3.241349e+000	3.300000e+000	3.949953e-001
6.412551519630510e-006	3.247388e+000	3.300000e+000	3.962868e-001
6.422317144630509e-006	3.252806e+000	3.300000e+000	3.974751e-001
6.432082769630509e-006	3.257666e+000	3.300000e+000	3.985686e-001
6.441848394630508e-006	3.262027e+000	3.300000e+000	3.995748e-001
6.451614019630508e-006	3.265938e+000	3.300000e+000	4.005007e-001
